state,date,pred,true
Andaman and Nicobar Islands,2021-08-05 00:00:00,70.95711083702086,4.0
Andaman and Nicobar Islands,2021-08-06 00:00:00,72.04206758065799,4.0
Andaman and Nicobar Islands,2021-08-07 00:00:00,72.02267436103541,4.0
Andaman and Nicobar Islands,2021-08-08 00:00:00,71.51551519712449,6.0
Andaman and Nicobar Islands,2021-08-09 00:00:00,70.71964345950357,7.0
Andaman and Nicobar Islands,2021-08-10 00:00:00,68.02222961106304,5.0
Andaman and Nicobar Islands,2021-08-11 00:00:00,68.8349079302718,7.0
Andhra Pradesh,2021-08-05 00:00:00,77996.03082019124,20184.0
Andhra Pradesh,2021-08-06 00:00:00,78368.19644452712,20302.0
Andhra Pradesh,2021-08-07 00:00:00,78602.6266331469,20593.0
Andhra Pradesh,2021-08-08 00:00:00,78643.68808891615,20375.0
Andhra Pradesh,2021-08-09 00:00:00,78836.05430173507,19949.0
Andhra Pradesh,2021-08-10 00:00:00,78441.77425296254,19549.0
Andhra Pradesh,2021-08-11 00:00:00,78430.90719173645,18882.0
Arunachal Pradesh,2021-08-05 00:00:00,4568.961979200931,3337.0
Arunachal Pradesh,2021-08-06 00:00:00,4604.502333372326,3226.0
Arunachal Pradesh,2021-08-07 00:00:00,4637.625526825278,3032.0
Arunachal Pradesh,2021-08-08 00:00:00,4670.210535681092,2873.0
Arunachal Pradesh,2021-08-09 00:00:00,4668.809288908313,2680.0
Arunachal Pradesh,2021-08-10 00:00:00,4704.908271526987,2606.0
Arunachal Pradesh,2021-08-11 00:00:00,4740.87769810962,2536.0
Assam,2021-08-05 00:00:00,34506.8362218023,12223.0
Assam,2021-08-06 00:00:00,34620.34062048659,12024.0
Assam,2021-08-07 00:00:00,34705.92390033255,11719.0
Assam,2021-08-08 00:00:00,34852.65341694279,11633.0
Assam,2021-08-09 00:00:00,34558.84456548056,11059.0
Assam,2021-08-10 00:00:00,34793.29607742776,11096.0
Assam,2021-08-11 00:00:00,35115.64765553446,11045.0
Bihar,2021-08-05 00:00:00,22124.72148080958,366.0
Bihar,2021-08-06 00:00:00,22264.948011739347,365.0
Bihar,2021-08-07 00:00:00,22362.48336582337,357.0
Bihar,2021-08-08 00:00:00,22330.82784589735,321.0
Bihar,2021-08-09 00:00:00,22278.69717949358,310.0
Bihar,2021-08-10 00:00:00,22071.900835717504,286.0
Bihar,2021-08-11 00:00:00,22125.496196476535,281.0
Bihar****,2021-08-05 00:00:00,123.87621250005401,0.0
Bihar****,2021-08-06 00:00:00,130.7550784259517,0.0
Bihar****,2021-08-07 00:00:00,67.12357754502877,0.0
Bihar****,2021-08-08 00:00:00,67.32027637113191,0.0
Bihar****,2021-08-09 00:00:00,67.51560935467421,0.0
Bihar****,2021-08-10 00:00:00,67.71084519751811,0.0
Bihar****,2021-08-11 00:00:00,67.9060148440507,0.0
Cases being reassigned to states,2021-08-05 00:00:00,-160.52900886699177,0.0
Cases being reassigned to states,2021-08-06 00:00:00,-185.72956684279552,0.0
Cases being reassigned to states,2021-08-07 00:00:00,-199.9328326556863,0.0
Cases being reassigned to states,2021-08-08 00:00:00,-207.7265400412344,0.0
Cases being reassigned to states,2021-08-09 00:00:00,-230.39235582834502,0.0
Cases being reassigned to states,2021-08-10 00:00:00,-215.5663556233315,0.0
Cases being reassigned to states,2021-08-11 00:00:00,-176.02684609213506,0.0
Chandigarh,2021-08-05 00:00:00,2040.5730160107407,31.0
Chandigarh,2021-08-06 00:00:00,2030.4186159956412,28.0
Chandigarh,2021-08-07 00:00:00,2026.770559466909,27.0
Chandigarh,2021-08-08 00:00:00,2019.8820150560377,26.0
Chandigarh,2021-08-09 00:00:00,2024.3992299410281,25.0
Chandigarh,2021-08-10 00:00:00,2018.7898187011901,27.0
Chandigarh,2021-08-11 00:00:00,2016.1427541827616,31.0
Chhattisgarh,2021-08-05 00:00:00,38138.60889996067,1906.0
Chhattisgarh,2021-08-06 00:00:00,38131.484638350776,1830.0
Chhattisgarh,2021-08-07 00:00:00,38067.87331555897,1780.0
Chhattisgarh,2021-08-08 00:00:00,38118.53442401884,1735.0
Chhattisgarh,2021-08-09 00:00:00,37870.96050300215,1721.0
Chhattisgarh,2021-08-10 00:00:00,37707.09427918868,1700.0
Chhattisgarh,2021-08-11 00:00:00,37681.21098048536,1623.0
Dadra and Nagar Haveli,2021-08-05 00:00:00,2.429034335153421,0.0
Dadra and Nagar Haveli,2021-08-06 00:00:00,5.570339832843075,0.0
Dadra and Nagar Haveli,2021-08-07 00:00:00,3.846742085967974,0.0
Dadra and Nagar Haveli,2021-08-08 00:00:00,2.4491186462814634,0.0
Dadra and Nagar Haveli,2021-08-09 00:00:00,2.45574958967467,0.0
Dadra and Nagar Haveli,2021-08-10 00:00:00,2.4623789252952624,0.0
Dadra and Nagar Haveli,2021-08-11 00:00:00,2.469001162843891,0.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-05 00:00:00,360.50924818557934,15.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-06 00:00:00,362.71151724718584,14.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-07 00:00:00,360.8124882700472,12.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-08 00:00:00,362.2679850897917,9.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-09 00:00:00,360.77268334447376,8.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-10 00:00:00,360.53058720120475,6.0
Dadra and Nagar Haveli and Daman and Diu,2021-08-11 00:00:00,360.35177135503466,4.0
Daman & Diu,2021-08-05 00:00:00,0.018965334741798193,0.0
Daman & Diu,2021-08-06 00:00:00,-0.006415295157366663,0.0
Daman & Diu,2021-08-07 00:00:00,-0.006421459956227897,0.0
Daman & Diu,2021-08-08 00:00:00,-0.006427625069189362,0.0
Daman & Diu,2021-08-09 00:00:00,-0.006433797185902042,0.0
Daman & Diu,2021-08-10 00:00:00,-0.0064398537472232665,0.0
Daman & Diu,2021-08-11 00:00:00,-0.006445883184265113,0.0
Delhi,2021-08-05 00:00:00,18942.27417557948,513.0
Delhi,2021-08-06 00:00:00,18909.79295412673,518.0
Delhi,2021-08-07 00:00:00,18947.740662662134,516.0
Delhi,2021-08-08 00:00:00,18720.014475009964,565.0
Delhi,2021-08-09 00:00:00,18606.06623696717,536.0
Delhi,2021-08-10 00:00:00,18136.50302308589,498.0
Delhi,2021-08-11 00:00:00,18462.838763158154,504.0
Goa,2021-08-05 00:00:00,8423.761033914576,1018.0
Goa,2021-08-06 00:00:00,8483.321324638115,1029.0
Goa,2021-08-07 00:00:00,8518.985269199522,992.0
Goa,2021-08-08 00:00:00,8517.67012849172,1006.0
Goa,2021-08-09 00:00:00,8457.219206987289,987.0
Goa,2021-08-10 00:00:00,8406.558141687467,896.0
Goa,2021-08-11 00:00:00,8412.800014127793,943.0
Gujarat,2021-08-05 00:00:00,32411.753984045477,213.0
Gujarat,2021-08-06 00:00:00,32422.25579454483,206.0
Gujarat,2021-08-07 00:00:00,32430.174718218786,204.0
Gujarat,2021-08-08 00:00:00,32424.722084018988,196.0
Gujarat,2021-08-09 00:00:00,32407.50398258822,207.0
Gujarat,2021-08-10 00:00:00,32362.833945949184,209.0
Gujarat,2021-08-11 00:00:00,32335.360167070223,206.0
Haryana,2021-08-05 00:00:00,23559.20665062721,712.0
Haryana,2021-08-06 00:00:00,23504.598732030296,703.0
Haryana,2021-08-07 00:00:00,23480.631241118906,690.0
Haryana,2021-08-08 00:00:00,23544.56637602186,685.0
Haryana,2021-08-09 00:00:00,23542.117128044287,679.0
Haryana,2021-08-10 00:00:00,23388.938282480587,672.0
Haryana,2021-08-11 00:00:00,23341.034962883805,672.0
Himachal Pradesh,2021-08-05 00:00:00,8951.312000994865,1508.0
Himachal Pradesh,2021-08-06 00:00:00,9002.90895536721,1610.0
Himachal Pradesh,2021-08-07 00:00:00,8982.308433714155,1727.0
Himachal Pradesh,2021-08-08 00:00:00,9012.881397358622,1949.0
Himachal Pradesh,2021-08-09 00:00:00,8892.515889908327,1962.0
Himachal Pradesh,2021-08-10 00:00:00,8884.79069357963,2086.0
Himachal Pradesh,2021-08-11 00:00:00,8885.365233826436,2318.0
Himanchal Pradesh,2021-08-05 00:00:00,13.096190717775238,0.0
Himanchal Pradesh,2021-08-06 00:00:00,13.170588919912706,0.0
Himanchal Pradesh,2021-08-07 00:00:00,13.244976956223907,0.0
Himanchal Pradesh,2021-08-08 00:00:00,13.319356960554547,0.0
